#Organism/Name,Kingdom,Group,SubGroup,Size (Mb),Chrs,Organelles,Plasmids,BioProjects
Pseudomonas knackmussii,Bacteria,Proteobacteria,Gammaproteobacteria,6.16291,1,-,-,1
Pseudomonas libanensis,Bacteria,Proteobacteria,Gammaproteobacteria,6.16447,-,-,-,1
Pseudomonas lini,Bacteria,Proteobacteria,Gammaproteobacteria,6.54508,-,-,-,2
Pseudomonas lundensis,Bacteria,Proteobacteria,Gammaproteobacteria,4.9925,-,-,-,1
Pseudomonas lutea,Bacteria,Proteobacteria,Gammaproteobacteria,5.6475,-,-,-,1
Pseudomonas luteola,Bacteria,Proteobacteria,Gammaproteobacteria,4.6268,-,-,-,1
Pseudomonas mandelii,Bacteria,Proteobacteria,Gammaproteobacteria,7.18856,1,-,1,3
Pseudomonas mediterranea,Bacteria,Proteobacteria,Gammaproteobacteria,6.31969,-,-,-,1
Pseudomonas meliae,Bacteria,Proteobacteria,Gammaproteobacteria,5.14364,-,-,-,1
Pseudomonas mendocina,Bacteria,Proteobacteria,Gammaproteobacteria,6.73789,1,-,-,11
Pseudomonas monteilii,Bacteria,Proteobacteria,Gammaproteobacteria,6.30871,1,-,-,6
Pseudomonas moraviensis,Bacteria,Proteobacteria,Gammaproteobacteria,6.30832,1,-,1,1
Pseudomonas mosselii,Bacteria,Proteobacteria,Gammaproteobacteria,6.26084,1,-,-,2
Pseudomonas nitroreducens,Bacteria,Proteobacteria,Gammaproteobacteria,7.4082,-,-,-,5
Pseudomonas oleovorans,Bacteria,Proteobacteria,Gammaproteobacteria,5.20159,-,-,-,2
Pseudomonas oryzihabitans,Bacteria,Proteobacteria,Gammaproteobacteria,5.09297,-,-,-,2
Pseudomonas otitidis,Bacteria,Proteobacteria,Gammaproteobacteria,6.29689,-,-,-,1
Pseudomonas parafulva,Bacteria,Proteobacteria,Gammaproteobacteria,5.11984,1,-,-,4
Pseudomonas pelagia,Bacteria,Proteobacteria,Gammaproteobacteria,4.64231,-,-,-,1
Pseudomonas phage 119X,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043365,1,-,-,1
Pseudomonas phage 14-1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066235,1,-,-,1
Pseudomonas phage 201phi2-1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.316674,1,-,-,1
Pseudomonas phage 73,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.042999,1,-,-,1
Pseudomonas phage AF,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042689,1,-,-,1
Pseudomonas phage B3,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.038439,1,-,-,1
Pseudomonas phage Bf7,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040058,1,-,-,1
Pseudomonas phage CHA_P1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088255,1,-,-,1
Pseudomonas phage D3,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.056425,1,-,-,1
Pseudomonas phage D3112,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037611,1,-,-,1
Pseudomonas phage DMS3,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036415,1,-,-,1
Pseudomonas phage EL,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.211215,1,-,-,1
Pseudomonas phage F10,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.039199,1,-,-,1
Pseudomonas phage F116,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.065195,1,-,-,1
Pseudomonas phage F8,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066015,1,-,-,1
Pseudomonas phage H70,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037359,1,-,-,1
Pseudomonas phage JBD24,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037095,1,-,-,1
Pseudomonas phage JBD30,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036947,1,-,-,1
Pseudomonas phage JBD5,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.03774,1,-,-,1
Pseudomonas phage JBD88a,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036429,1,-,-,1
Pseudomonas phage JD024,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.03738,1,-,-,1
Pseudomonas phage JG004,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.093017,1,-,-,1
Pseudomonas phage JG024,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066275,1,-,-,1
Pseudomonas phage KPP10,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088322,1,-,-,1
Pseudomonas phage KPP12,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.064144,1,-,-,1
Pseudomonas phage KPP25,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.064113,1,-,-,1
Pseudomonas phage LBL3,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.064427,1,-,-,1
Pseudomonas phage LIT1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.072544,1,-,-,1
Pseudomonas phage LKA1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.041593,1,-,-,1
Pseudomonas phage LKD16,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.0432,1,-,-,1
Pseudomonas phage LMA2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.06653,1,-,-,1
Pseudomonas phage LPB1,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036814,1,-,-,1
Pseudomonas phage LUZ19,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043548,1,-,-,1
Pseudomonas phage LUZ24,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045625,1,-,-,1
Pseudomonas phage LUZ7,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.074901,1,-,-,1
Pseudomonas phage Lu11,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.280538,1,-,-,1
Pseudomonas phage M6,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.059446,1,-,-,1
Pseudomonas phage MP1412,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.061167,1,-,-,1
Pseudomonas phage MP22,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036409,1,-,-,1
Pseudomonas phage MP29,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036632,1,-,-,1
Pseudomonas phage MP38,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036885,1,-,-,1
Pseudomonas phage MP42,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036847,1,-,-,1
Pseudomonas phage MP48,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.036838,1,-,-,1
Pseudomonas phage MPK6,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042957,1,-,-,1
Pseudomonas phage MPK7,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042874,1,-,-,1
Pseudomonas phage NH-4,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066116,1,-,-,1
Pseudomonas phage OBP,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.284757,1,-,-,1
Pseudomonas phage PA11,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.049639,1,-,-,1
Pseudomonas phage PA1phi,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.034553,1,-,-,1
Pseudomonas phage PAJU2,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.046872,1,-,-,1
Pseudomonas phage PAK_P1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.093198,1,-,-,1
Pseudomonas phage PAK_P2,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.092495,1,-,-,1
Pseudomonas phage PAK_P3,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088097,1,-,-,1
Pseudomonas phage PAK_P4,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.093147,1,-,-,1
Pseudomonas phage PAK_P5,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.088135,1,-,-,1
Pseudomonas phage PB1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.065764,1,-,-,1
Pseudomonas phage PMG1,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.054024,1,-,-,1
Pseudomonas phage PP7,Viruses,ssRNA viruses,Leviviridae,0.003588,1,-,-,1
Pseudomonas phage PPpW-3,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.043564,1,-,-,1
Pseudomonas phage PPpW-4,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.041386,1,-,-,1
Pseudomonas phage PRR1,Viruses,ssRNA viruses,Leviviridae,0.003573,1,-,-,1
Pseudomonas phage PT2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042961,1,-,-,1
Pseudomonas phage PT5,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042954,1,-,-,1
Pseudomonas phage Pa2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.073008,1,-,-,1
Pseudomonas phage PaBG,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.258139,1,-,-,1
Pseudomonas phage PaP1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.091715,1,-,-,1
Pseudomonas phage PaP2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043783,1,-,-,1
Pseudomonas phage PaP3,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045503,1,-,-,1
Pseudomonas phage Pf-10,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.039167,1,-,-,1
Pseudomonas phage Pf1,Viruses,ssDNA viruses,Inoviridae,0.007349,1,-,-,1
Pseudomonas phage Pf3,Viruses,ssDNA viruses,Inoviridae,0.005833,1,-,-,1
Pseudomonas phage Phi-S1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040192,1,-,-,1
Pseudomonas phage SN,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.06639,1,-,-,1
Pseudomonas phage SPM-1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.065729,1,-,-,1
Pseudomonas phage TL,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045696,1,-,-,1
Pseudomonas phage UFV-P2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045517,1,-,-,1
Pseudomonas phage YH6,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.07305,1,-,-,1
Pseudomonas phage YuA,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.058663,1,-,-,1
Pseudomonas phage phi-2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043144,1,-,-,1
Pseudomonas phage phi12,Viruses,dsRNA viruses,Cystoviridae,0.013173,3,-,-,1
Pseudomonas phage phi13,Viruses,dsRNA viruses,Cystoviridae,0.013652,3,-,-,1
Pseudomonas phage phi15,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.039562,1,-,-,1
Pseudomonas phage phi2954,Viruses,dsRNA viruses,Cystoviridae,0.012685,3,-,-,1
Pseudomonas phage phi297,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.049135,1,-,-,1
Pseudomonas phage phi6,Viruses,dsRNA viruses,Cystoviridae,0.013385,3,-,-,1
Pseudomonas phage phi8,Viruses,dsRNA viruses,Cystoviridae,0.014984,3,-,-,1
Pseudomonas phage phiCTX,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.03558,1,-,-,1
Pseudomonas phage phiIBB-PAA2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045344,1,-,-,1
Pseudomonas phage phiIBB-PF7A,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040973,1,-,-,1
Pseudomonas phage phiKMV,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042519,1,-,-,1
Pseudomonas phage phiKZ,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.280334,1,-,-,1
Pseudomonas phage phiPSA1,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.05109,1,-,-,1
Pseudomonas phage phiPSA2,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040472,1,-,-,1
Pseudomonas phage phiPsa374,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.097906,1,-,-,1
Pseudomonas phage phiPto-bp6g,Viruses,unclassified phages,unclassified,0.026499,1,-,-,1
Pseudomonas phage phikF77,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043152,1,-,-,1
Pseudomonas phage tf,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.046271,1,-,-,1
Pseudomonas phage vB_Pae-Kakheti25,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.042844,1,-,-,1
Pseudomonas phage vB_Pae-TbilisiM32,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042966,1,-,-,1
Pseudomonas phage vB_PaeM_C1-14_Ab28,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066181,1,-,-,1
Pseudomonas phage vB_PaeM_C2-10_Ab1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.092777,1,-,-,1
Pseudomonas phage vB_PaeM_PAO1_Ab03,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.086246,1,-,-,1
Pseudomonas phage vB_PaeM_PAO1_Ab27,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.066299,1,-,-,1
Pseudomonas phage vB_PaeP_C2-10_Ab09,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.072028,1,-,-,1
Pseudomonas phage vB_PaeP_C2-10_Ab22,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045808,1,-,-,1
Pseudomonas phage vB_PaeP_PAO1_Ab05,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043639,1,-,-,1
Pseudomonas phage vB_PaeP_PPA-ABTNL,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.043227,1,-,-,1
Pseudomonas phage vB_PaeP_Tr60_Ab31,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.04555,1,-,-,1
Pseudomonas phage vB_PaeP_p2-10_Or1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.04403,1,-,-,1
Pseudomonas phage vB_PaeS_PAO1_Ab18,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.056537,1,-,-,1
Pseudomonas phage vB_PaeS_PAO1_Ab30,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.037238,1,-,-,1
Pseudomonas phage vB_PaeS_SCH_Ab26,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.043056,1,-,-,1
Pseudomonas plecoglossicida,Bacteria,Proteobacteria,Gammaproteobacteria,6.23325,1,-,-,5
Pseudomonas poae,Bacteria,Proteobacteria,Gammaproteobacteria,5.51224,1,-,-,1
Pseudomonas protegens,Bacteria,Proteobacteria,Gammaproteobacteria,6.86798,1,-,-,3
Pseudomonas protegens Pf-5,Bacteria,Proteobacteria,Gammaproteobacteria,7.07489,1,-,-,1
Pseudomonas pseudoalcaligenes,Bacteria,Proteobacteria,Gammaproteobacteria,6.88999,1,-,-,5
Pseudomonas psychrophila,Bacteria,Proteobacteria,Gammaproteobacteria,5.33401,-,-,-,3
Pseudomonas psychrotolerans,Bacteria,Proteobacteria,Gammaproteobacteria,5.10024,-,-,-,1
Pseudomonas putida,Bacteria,Proteobacteria,Gammaproteobacteria,6.87083,1,-,11,52
Pseudomonas resinovorans,Bacteria,Proteobacteria,Gammaproteobacteria,6.48483,1,-,1,2
Pseudomonas rhizosphaerae,Bacteria,Proteobacteria,Gammaproteobacteria,4.68863,1,-,-,1
Pseudomonas rhodesiae,Bacteria,Proteobacteria,Gammaproteobacteria,6.05006,-,-,-,1
Pseudomonas savastanoi,Bacteria,Proteobacteria,Gammaproteobacteria,6.41511,1,-,3,18
Pseudomonas simiae,Bacteria,Proteobacteria,Gammaproteobacteria,6.39566,1,-,-,3
Pseudomonas stutzeri,Bacteria,Proteobacteria,Gammaproteobacteria,5.31885,1,-,3,26
Pseudomonas synxantha,Bacteria,Proteobacteria,Gammaproteobacteria,6.29749,1,-,-,1
Pseudomonas syringae,Bacteria,Proteobacteria,Gammaproteobacteria,7.72139,1,-,5,111
Pseudomonas syringae group genomosp. 3,Bacteria,Proteobacteria,Gammaproteobacteria,6.53826,1,-,6,16
Pseudomonas syringae pv. coryli,Bacteria,Proteobacteria,Gammaproteobacteria,6.09633,-,-,-,1
Pseudomonas taeanensis,Bacteria,Proteobacteria,Gammaproteobacteria,5.46025,-,-,-,1
Pseudomonas taetrolens,Bacteria,Proteobacteria,Gammaproteobacteria,4.9219,-,-,-,1
Pseudomonas taiwanensis,Bacteria,Proteobacteria,Gammaproteobacteria,6.25305,-,-,-,2
Pseudomonas thermotolerans,Bacteria,Proteobacteria,Gammaproteobacteria,3.75331,-,-,-,2
Pseudomonas tolaasii,Bacteria,Proteobacteria,Gammaproteobacteria,7.00782,-,-,-,2
Pseudomonas toyotomiensis,Bacteria,Proteobacteria,Gammaproteobacteria,5.59672,-,-,-,1
Pseudomonas trivialis,Bacteria,Proteobacteria,Gammaproteobacteria,6.4528,1,-,-,1
Pseudomonas tuomuerensis,Bacteria,Proteobacteria,Gammaproteobacteria,3.7484,-,-,-,2
Pseudomonas umsongensis,Bacteria,Proteobacteria,Gammaproteobacteria,6.45866,-,-,-,2
Pseudomonas veronii,Bacteria,Proteobacteria,Gammaproteobacteria,7.64907,-,-,-,3
Pseudomonas viridiflava,Bacteria,Proteobacteria,Gammaproteobacteria,6.0196,-,-,-,5
Pseudomonas vranovensis,Bacteria,Proteobacteria,Gammaproteobacteria,5.69781,-,-,-,1
Pseudomonas xanthomarina,Bacteria,Proteobacteria,Gammaproteobacteria,5.05197,-,-,-,1
Pseudonocardia,Bacteria,Actinobacteria,Actinobacteria,7.57163,1,-,2,5
Pseudonocardia acaciae,Bacteria,Actinobacteria,Actinobacteria,9.93133,-,-,-,1
Pseudonocardia asaccharolytica,Bacteria,Actinobacteria,Actinobacteria,5.05684,-,-,-,1
Pseudonocardia autotrophica,Bacteria,Actinobacteria,Actinobacteria,8.02384,-,-,1,1
Pseudonocardia chloroethenivorans,Bacteria,Actinobacteria,Actinobacteria,3.36502,-,-,-,1
Pseudonocardia dioxanivorans,Bacteria,Actinobacteria,Actinobacteria,7.30399,1,-,2,1
Pseudonocardia spinosispora,Bacteria,Actinobacteria,Actinobacteria,9.53756,-,-,-,1
Pseudonocardia tetrahydrofuranoxydans,Bacteria,Actinobacteria,Actinobacteria,2.13495,-,-,-,1
Pseudooceanicola atlanticus,Bacteria,Proteobacteria,Alphaproteobacteria,4.9383,-,-,-,1
Pseudopedobacter saltans,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.63524,1,-,-,1
Pseudoperonospora cubensis,Eukaryota,Protists,Other Protists,64.3328,-,1,-,1
Pseudophaeobacter arcticus,Bacteria,Proteobacteria,Alphaproteobacteria,5.04923,-,-,-,1
Pseudopleuronectes yokohamae,Eukaryota,Animals,Fishes,547.831,-,1,-,1
Pseudoplusia includens SNPV,Viruses,"dsDNA viruses, no RNA stage",Baculoviridae,0.139132,1,-,-,1
Pseudoplusia includens densovirus,Viruses,ssDNA viruses,Parvoviridae,0.00599,1,-,-,1
Pseudopodoces humilis,Eukaryota,Animals,Birds,1043,-,1,-,1
Pseudoramibacter alactolyticus,Bacteria,Firmicutes,Clostridia,2.36288,-,-,-,1
Pseudorhodobacter,Bacteria,Proteobacteria,Alphaproteobacteria,5.07908,-,-,-,1
Pseudorhodobacter antarcticus,Bacteria,Proteobacteria,Alphaproteobacteria,3.88102,-,-,-,1
Pseudorhodobacter aquimaris,Bacteria,Proteobacteria,Alphaproteobacteria,3.81844,-,-,-,1
Pseudorhodobacter ferrugineus,Bacteria,Proteobacteria,Alphaproteobacteria,3.43318,-,-,-,2
Pseudorhodobacter wandonensis,Bacteria,Proteobacteria,Alphaproteobacteria,3.88744,-,-,-,1
Pseudothermotoga elfii,Bacteria,Thermotogae,Thermotogae,2.16986,1,-,-,2
Pseudothermotoga hypogea,Bacteria,Thermotogae,Thermotogae,2.16517,1,-,-,2
Pseudothermotoga lettingae,Bacteria,Thermotogae,Thermotogae,2.13534,1,-,-,1
Pseudothermotoga thermarum,Bacteria,Thermotogae,Thermotogae,2.03994,1,-,-,1
Pseudovibrio,Bacteria,Proteobacteria,Alphaproteobacteria,5.91678,1,-,1,3
Pseudovibrio denitrificans,Bacteria,Proteobacteria,Alphaproteobacteria,6.05374,-,-,-,1
Pseudoxanthomonas,Bacteria,Proteobacteria,Gammaproteobacteria,3.36228,-,-,-,3
Pseudoxanthomonas spadix,Bacteria,Proteobacteria,Gammaproteobacteria,3.45255,1,-,-,1
Pseudoxanthomonas suwonensis,Bacteria,Proteobacteria,Gammaproteobacteria,3.89172,1,-,-,5
Pseudozyma antarctica,Eukaryota,Fungi,Basidiomycetes,18.112,-,-,-,2
Pseudozyma aphidis,Eukaryota,Fungi,Basidiomycetes,17.9217,-,-,-,1
Pseudozyma brasiliensis,Eukaryota,Fungi,Basidiomycetes,17.3254,-,-,-,1
Pseudozyma hubeiensis,Eukaryota,Fungi,Basidiomycetes,18.4429,-,-,-,1
Psittacid herpesvirus 1,Viruses,"dsDNA viruses, no RNA stage",Herpesviridae,0.163025,1,-,-,1
Psittacine adenovirus 3,Viruses,"dsDNA viruses, no RNA stage",Adenoviridae,0.031735,1,-,-,1
Psychrilyobacter atlanticus,Bacteria,Fusobacteria,Fusobacteriia,3.53932,-,-,-,1
Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,3.58563,1,-,4,14
Psychrobacter aquaticus,Bacteria,Proteobacteria,Gammaproteobacteria,3.21641,-,-,-,1
Psychrobacter arcticus,Bacteria,Proteobacteria,Gammaproteobacteria,2.6507,1,-,-,1
Psychrobacter cryohalolentis,Bacteria,Proteobacteria,Gammaproteobacteria,3.1011,1,-,1,1
Psychrobacter lutiphocae,Bacteria,Proteobacteria,Gammaproteobacteria,3.17601,-,-,-,1
Psychrobacter phage Psymv2,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.035725,1,-,-,1
Psychrobacter phage pOW20-A,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.040803,1,-,-,1
Psychrobacter phenylpyruvicus,Bacteria,Proteobacteria,Gammaproteobacteria,3.09805,-,-,-,1
Psychrobacter urativorans,Bacteria,Proteobacteria,Gammaproteobacteria,2.93158,1,-,5,1
Psychroflexus gondwanensis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.31177,-,-,-,1
Psychroflexus torquis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,4.32183,1,-,-,1
Psychroflexus tropicus,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.00181,-,-,-,1
Psychromonas,Bacteria,Proteobacteria,Gammaproteobacteria,3.93207,1,-,-,2
Psychromonas aquimarina,Bacteria,Proteobacteria,Gammaproteobacteria,5.53463,-,-,-,1
Psychromonas arctica,Bacteria,Proteobacteria,Gammaproteobacteria,4.7459,-,-,-,1
Psychromonas hadalis,Bacteria,Proteobacteria,Gammaproteobacteria,3.97998,-,-,-,1
Psychromonas ingrahamii,Bacteria,Proteobacteria,Gammaproteobacteria,4.5596,1,-,-,1
Psychromonas ossibalaenae,Bacteria,Proteobacteria,Gammaproteobacteria,5.20431,-,-,-,1
Psychroserpens,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.84299,-,-,-,1
Psychroserpens burtonensis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.97645,-,-,-,1
Psychroserpens damuponensis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.94576,-,-,-,1
Psychroserpens jangbogonensis,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.63354,-,-,-,1
Psychroserpens mesophilus,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,3.6805,-,-,-,1
Pterocles gutturalis,Eukaryota,Animals,Birds,1069.32,-,-,-,1
Pteronotus parnellii,Eukaryota,Animals,Mammals,1960.32,-,1,-,1
Pteronotus polyomavirus,Viruses,"dsDNA viruses, no RNA stage",Polyomaviridae,0.005136,1,-,-,1
Pteropus alecto,Eukaryota,Animals,Mammals,1985.98,-,1,-,1
Pteropus vampyrus,Eukaryota,Animals,Mammals,2198.28,-,1,-,1
Puccinia arachidis,Eukaryota,Fungi,Basidiomycetes,87.6173,-,-,-,1
Puccinia graminis,Eukaryota,Fungi,Basidiomycetes,88.7244,-,-,-,1
Puccinia psidii,Eukaryota,Fungi,Basidiomycetes,0.362051,-,-,-,1
Puccinia sorghi,Eukaryota,Fungi,Basidiomycetes,99.5341,-,-,-,1
Puccinia striiformis,Eukaryota,Fungi,Basidiomycetes,130.485,-,-,-,7
Puccinia triticina,Eukaryota,Fungi,Basidiomycetes,162.949,-,-,-,1
Puerto Almendras virus,Viruses,ssRNA viruses,Rhabdoviridae,0.011876,1,-,-,1
Pumpkin yellow mosaic Malaysia virus,Viruses,ssDNA viruses,Geminiviridae,0.002724,1,-,-,1
Punctularia strigosozonata,Eukaryota,Fungi,Basidiomycetes,34.1719,-,-,-,1
Pundamilia nyererei,Eukaryota,Animals,Fishes,830.133,-,1,-,1
Puniceibacterium,Bacteria,Proteobacteria,Alphaproteobacteria,5.56349,-,-,-,1
Puniceispirillum phage HMO-2011,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.055282,1,-,-,1
Punta Toro virus,Viruses,ssRNA viruses,Bunyaviridae,0.01265,3,-,-,1
Pusillimonas,Bacteria,Proteobacteria,Betaproteobacteria,3.92481,1,-,1,1
Pusillimonas noertemannii,Bacteria,Proteobacteria,Betaproteobacteria,3.91698,-,-,-,1
Puumala virus,Viruses,ssRNA viruses,Bunyaviridae,0.012062,3,-,-,1
Pygoscelis adeliae,Eukaryota,Animals,Birds,1216.62,-,1,-,1
Pygoscelis adeliae papillomavirus,Viruses,"dsDNA viruses, no RNA stage",Papillomaviridae,0.007637,1,-,-,1
Pyramidobacter piscolens,Bacteria,Synergistetes,Synergistia,2.56201,-,-,-,1
Pyrenochaeta lycopersici,Eukaryota,Fungi,Ascomycetes,50.4899,-,-,-,1
Pyrenochaeta sp. UM 256,Eukaryota,Fungi,Ascomycetes,35.4843,-,-,-,1
Pyrenophora seminiperda,Eukaryota,Fungi,Ascomycetes,32.5392,-,-,-,1
Pyrenophora teres,Eukaryota,Fungi,Ascomycetes,33.5833,-,-,-,1
Pyrenophora tritici-repentis,Eukaryota,Fungi,Ascomycetes,37.9975,-,-,-,1
Pyrinomonas methylaliphatogenes,Bacteria,Fibrobacteres/Acidobacteria group,Acidobacteria,3.78856,-,-,-,1
Pyrobaculum,Archaea,Crenarchaeota,Thermoprotei,2.46797,1,-,-,2
Pyrobaculum aerophilum,Archaea,Crenarchaeota,Thermoprotei,2.22243,1,-,-,1
Pyrobaculum arsenaticum,Archaea,Crenarchaeota,Thermoprotei,2.12108,1,-,-,1
Pyrobaculum calidifontis,Archaea,Crenarchaeota,Thermoprotei,2.00931,1,-,-,1
Pyrobaculum islandicum,Archaea,Crenarchaeota,Thermoprotei,1.8264,1,-,-,1
Pyrobaculum neutrophilum,Archaea,Crenarchaeota,Thermoprotei,1.76982,1,-,-,1
Pyrobaculum oguniense,Archaea,Crenarchaeota,Thermoprotei,2.45292,1,-,1,1
Pyrobaculum spherical virus,Viruses,"dsDNA viruses, no RNA stage",Globuloviridae,0.028337,1,-,-,1
Pyrococcus,Archaea,Euryarchaeota,Thermococci,1.86132,1,-,1,2
